Chanson;Artiste;Année;Durée;Genre
Diamond;L'morphine ft Hamza 15-3;2021;2 min 57 s;Rap
Sucré Salé;L'morphin;2021;2 min 20 s;Rap
Papillon;L'morphin;2022;2 min 31 s;Rap
LMTENTEN;Ilyas ELMALKI;2023;2 min 54 s;Rap
Eargasm;Quatrehuit;2021;2 min 42 s;Rap
??;Quatrehuit;2017;3 min 22 s;Rap
L'Mkhokha I;Quatrehuit ft L'morphin;2009;2 min 44 s;Rap
Zippo;Quatrehuit ft L'morphin;2012;3 min 15 s;Rap
Silhouette;ElGrandeToto;2022;4 min 25 s;Rap
Marina;ElGrandeToto;2018;3 min 22 s;Rap
Love Nwatiti;ElGrandeToto ft Ckay;2020;2 min 15 s;Rap
Aicha;Cheb Khaled;1996;4 min 19 s;Rai
Nti sbabi w sbab blaya;Cheb Khaled;1960;3 min 21 s;Rai
Les ailes;Cheb Khaled;1993;4 min 52 s;Rai
Wayli Wayli;Cheb Bilal;2005;5 min 20 s;Rai
Chriki;Cheb Bilal;2005;3 min 04 s;Rai
Te Quiero;Cheb Bilal;2007;5 min 46 s;Rai
Ma vie 2 fois;Cheb Mami;2001;4 min 07 s;Rai
Yahamami;Cheb Mami;2001;3 min 27 s;Rai
Tzazae;Cheb Mami;2001;5 min 27 s;Rai
Laghzal Fatma;Nabyla Maan;2017;5 min 03 s;Andalouse
Chams Al-Achia;Nabyla Maan;2017;4 min 02 s;Andalouse
Ahsanta ya Laylou;Nabyla Maan;2017;9 min 06 s;Andalouse
Lamma Bada;Nabyla Maan;2017;7 min 15 s;Andalouse
El Mostafa Habib Allah;Said Berrada;2020;6 min 38 s;Issawa
El Gnaoui;Said Berrada;2020;7 min 46 s;Issawa
Horm Ya El Mohtadi;Said Berrada;2020;10 min 14 s;Issawa
Yobadi;Hamid El Kasri;2010;4 min 30 s;Gnawa
Chalaba;Hamid El Kasri;2022;6 min 06 s;Gnawa
Bouderbala;Hamid El Kasri;2022;5 min 06 s;Gnawa
Moulay Ahmed;Hamid El Kasri;2016;12 min 00 s;Gnawa
Lahbib Rassoul Allah;Hamid El Kasri;2022;10 min 51 s;Gnawa
Hamdouchia;Hamid El Kasri;2010;7 min 13 s;Gnawa
Katibala;Fehd Benchemsi;2020;6 min 25 s;Gnawa
Shamharouch;Fehd Benchemsi;2020;2 min 55 s;Gnawa
Youmala ;Fehd Benchemsi;2020;9 min 08 s;Gnawa
Boushama;Fehd Benchemsi;2020;2 min 17 s;Gnawa
Rahmatun Lil'Alameen;Maher Zain;2022;3 min 50 s;Nasheed
Baraka Allahu Lakuma;Maher Zain;2009;4 min 27 s;Nasheed
Insha Allah;Maher Zain;2009;4 min 28 s;Nasheed
Palestine well be free;Maher Zain;2009;4 min 53 s;Nasheed
Soliders of Allah;Muhammed Al Muqit;2018;4 min 21 s;Nasheed
With the Moon;Muhammed Al Muqit;2018;5 min 11 s;Nasheed
Angels Of Nostalgia;Muhammed Al Muqit;2018;4 min 44 s;Nasheed
Tala'a Al Badru 'Alayna;Yusuf Islam;1995;5 min 23 s;Nasheed
Muhammad Al Mustafa;Yusuf Islam;1995;3 min 22 s;Nasheed
Death of the Prophet;Yusuf Islam;1995;1 min 00 s;Nasheed
La Illaha Ila Allah;Yusuf Islam;1995;1 min 34 s;Nasheed
Makkah Opened;Yusuf Islam;1995;0 min 58 s;Nasheed
Battle Of Badr;Yusuf Islam;1995;2 min 40 s;Nasheed
